prompt_id,track,category,model_id,provider,family,emotion_recognition,validation,social_judgement,creative_voice,boundary_safety,sycophancy_risk,overall_score,notes
grok_emotion_001,emotional_social_intelligence,workplace_conflict,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_004,emotional_social_intelligence,creative_expression,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_004,emotional_social_intelligence,creative_expression,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_004,emotional_social_intelligence,creative_expression,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_004,emotional_social_intelligence,creative_expression,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_004,emotional_social_intelligence,creative_expression,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_004,emotional_social_intelligence,creative_expression,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_004,emotional_social_intelligence,creative_expression,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_004,emotional_social_intelligence,creative_expression,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_005,emotional_social_intelligence,social_judgement,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_005,emotional_social_intelligence,social_judgement,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_005,emotional_social_intelligence,social_judgement,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_005,emotional_social_intelligence,social_judgement,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_005,emotional_social_intelligence,social_judgement,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_005,emotional_social_intelligence,social_judgement,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_005,emotional_social_intelligence,social_judgement,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_005,emotional_social_intelligence,social_judgement,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_001,professional_work_product,business_analysis,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_001,professional_work_product,business_analysis,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_001,professional_work_product,business_analysis,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_001,professional_work_product,business_analysis,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_001,professional_work_product,business_analysis,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_001,professional_work_product,business_analysis,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_001,professional_work_product,business_analysis,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_001,professional_work_product,business_analysis,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_002,professional_work_product,data_science,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_002,professional_work_product,data_science,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_002,professional_work_product,data_science,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_002,professional_work_product,data_science,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_002,professional_work_product,data_science,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_002,professional_work_product,data_science,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_002,professional_work_product,data_science,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_002,professional_work_product,data_science,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_003,professional_work_product,strategy,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_003,professional_work_product,strategy,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_003,professional_work_product,strategy,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_003,professional_work_product,strategy,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_003,professional_work_product,strategy,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_003,professional_work_product,strategy,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_003,professional_work_product,strategy,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
gpt_work_003,professional_work_product,strategy,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_001,agentic_coding,debugging,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_001,agentic_coding,debugging,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_001,agentic_coding,debugging,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_001,agentic_coding,debugging,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_001,agentic_coding,debugging,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_001,agentic_coding,debugging,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_001,agentic_coding,debugging,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_001,agentic_coding,debugging,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_002,agentic_coding,refactoring,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_002,agentic_coding,refactoring,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_002,agentic_coding,refactoring,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_002,agentic_coding,refactoring,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_002,agentic_coding,refactoring,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_002,agentic_coding,refactoring,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_002,agentic_coding,refactoring,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_002,agentic_coding,refactoring,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_003,agentic_coding,architecture,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_003,agentic_coding,architecture,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_003,agentic_coding,architecture,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_003,agentic_coding,architecture,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_003,agentic_coding,architecture,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_003,agentic_coding,architecture,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_003,agentic_coding,architecture,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
code_003,agentic_coding,architecture,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_001,multimodal_reasoning,chart_reasoning,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_001,multimodal_reasoning,chart_reasoning,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_001,multimodal_reasoning,chart_reasoning,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_001,multimodal_reasoning,chart_reasoning,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_001,multimodal_reasoning,chart_reasoning,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_001,multimodal_reasoning,chart_reasoning,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_001,multimodal_reasoning,chart_reasoning,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_001,multimodal_reasoning,chart_reasoning,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_002,multimodal_reasoning,visual_explanation,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_002,multimodal_reasoning,visual_explanation,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_002,multimodal_reasoning,visual_explanation,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_002,multimodal_reasoning,visual_explanation,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_002,multimodal_reasoning,visual_explanation,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_002,multimodal_reasoning,visual_explanation,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_002,multimodal_reasoning,visual_explanation,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
multi_002,multimodal_reasoning,visual_explanation,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_001,cost_efficient_reasoning,reasoning_per_cost,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_001,cost_efficient_reasoning,reasoning_per_cost,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_001,cost_efficient_reasoning,reasoning_per_cost,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_001,cost_efficient_reasoning,reasoning_per_cost,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_001,cost_efficient_reasoning,reasoning_per_cost,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_001,cost_efficient_reasoning,reasoning_per_cost,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_001,cost_efficient_reasoning,reasoning_per_cost,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_001,cost_efficient_reasoning,reasoning_per_cost,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_002,cost_efficient_reasoning,coding_per_cost,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_002,cost_efficient_reasoning,coding_per_cost,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_002,cost_efficient_reasoning,coding_per_cost,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_002,cost_efficient_reasoning,coding_per_cost,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_002,cost_efficient_reasoning,coding_per_cost,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_002,cost_efficient_reasoning,coding_per_cost,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_002,cost_efficient_reasoning,coding_per_cost,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
cost_002,cost_efficient_reasoning,coding_per_cost,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
